,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Condo/Co-op,133 Lynbrook Ct,WATSONVILLE,CA,95076,499999,2.0,1.5,WATSONVILLE,1152.0,,1979.0,1,434.0,466.0,Active,November-6-2021 11:00 AM,November-6-2021 03:00 PM,http://www.redfin.com/CA/Watsonville/133-Lynbrook-Ct-95076/home/2218512,MLSListings,ML81867608,N,Y,36.932913,-121.766138
1,MLS Listing,,Single Family Residential,812 Cathedral Dr,APTOS,CA,95003,669000,2.0,1.0,APTOS,950.0,15000.0,1951.0,1,704.0,,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Aptos/812-Cathedral-Dr-95003/home/2299798,MLSListings,ML81868912,N,Y,36.992067,-121.895099
2,MLS Listing,,Single Family Residential,262 Blue Ridge Dr,BOULDER CREEK,CA,95006,599999,2.0,1.0,BOULDER CREEK,998.0,6273.0,1971.0,1,601.0,,Active,,,http://www.redfin.com/CA/Boulder-Creek/262-Blue-Ridge-Dr-95006/home/2387725,MLSListings,ML81868906,N,Y,37.152699,-122.131117
3,MLS Listing,,Mobile/Manufactured Home,1190 7th #17,SANTA CRUZ,CA,95062,398000,2.0,2.0,SANTA CRUZ,900.0,,2017.0,1,442.0,,Active,November-4-2021 12:30 PM,November-4-2021 03:00 PM,http://www.redfin.com/CA/Santa-Cruz/1190-7th-Ave-95062/unit-17/home/168932499,MLSListings,ML81868905,N,Y,36.9737222,-121.9911864
4,MLS Listing,,Single Family Residential,1 Cross St,SCOTTS VALLEY,CA,95066,1200000,3.0,3.5,SCOTTS VALLEY,2280.0,10803.0,1990.0,1,526.0,,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Scotts-Valley/1-Cross-St-95066/home/2233307,MLSListings,ML81868899,N,Y,37.0572253,-122.0045122
5,MLS Listing,,Single Family Residential,5 Timber Ridge Ln,SCOTTS VALLEY,CA,95066,2999400,4.0,3.5,SCOTTS VALLEY,4419.0,121532.0,2017.0,1,679.0,,Active,November-4-2021 09:30 AM,November-4-2021 12:00 PM,http://www.redfin.com/CA/Scotts-Valley/5-Timber-Ridge-Ln-95066/home/161423389,MLSListings,ML81868877,N,Y,37.0700889,-121.9889502
6,MLS Listing,,Townhouse,755 Chestnut St,SANTA CRUZ,CA,95060,965000,2.0,2.5,SANTA CRUZ,1472.0,697.0,1990.0,1,656.0,358.0,Active,November-6-2021 02:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Santa-Cruz/755-Chestnut-St-95060/home/2163557,MLSListings,ML81868868,N,Y,36.976411,-122.029004
7,MLS Listing,,Single Family Residential,225 Treasure Island Dr,APTOS,CA,95003,1375000,3.0,2.0,APTOS,1440.0,3354.0,1972.0,1,955.0,,Active,November-6-2021 12:00 PM,November-6-2021 03:00 PM,http://www.redfin.com/CA/Aptos/225-Treasure-Island-Dr-95003/home/2308778,MLSListings,ML81867831,N,Y,36.9726846,-121.9044407
8,MLS Listing,,Single Family Residential,531 Dufour St,SANTA CRUZ,CA,95060,1599000,4.0,3.0,SANTA CRUZ,2053.0,5619.0,1956.0,1,779.0,,Active,,,http://www.redfin.com/CA/Santa-Cruz/531-Dufour-St-95060/home/2146293,MLSListings,ML81865570,N,Y,36.9632421,-122.0417712
9,MLS Listing,,Multi-Family (2-4 Unit),160 & 162 Provincetown Ct,APTOS,CA,95003,1598000,6.0,4.0,APTOS,3372.0,6360.0,1978.0,1,474.0,,Active,,,http://www.redfin.com/CA/Aptos/162-Provincetown-Ct-95003/home/177026589,MLSListings,ML81868818,N,Y,36.9518106,-121.8742724
